main_street;id_arco;sense;from_intersection;to_intersection;Interseccion;day_name;hora;Nivel
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;10:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;11:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;11:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;11:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;11:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;12:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;12:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;12:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;12:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;13:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;13:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;13:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;13:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;14:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;14:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;14:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;14:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;15:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;15:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;15:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;15:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;16:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;16:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;16:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;16:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;17:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;17:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;17:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;17:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;18:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;18:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;18:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;18:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;19:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;19:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;19:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;19:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;20:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;20:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;20:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;20:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Thursday;21:00;2
